Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Tyler Boyd,CIN,24,WR,14,14,2,3,0,0,5,1.5,0.2,0
Antonio Callaway,CLE,21,WR,16,11,2,7,0,1,15,3.5,0.4,1
Maurice Harris,WAS,26,WR,12,7,2,10,0,1,6,5.0,0.8,1
Adam Humphries,TAM,25,WR,16,10,2,11,0,0,7,5.5,0.7,2
Andy Janovich,DEN,25,FB,16,7,2,5,0,2,3,2.5,0.3,0
Julio Jones*,ATL,29,WR,16,16,2,12,0,1,11,6.0,0.8,2
Marquez Valdes-Scantling,GNB,24,WR,16,10,2,29,0,2,21,14.5,1.8,0
Tyrell Williams,LAC,26,WR,16,10,2,15,0,1,14,7.5,0.9,2
Danny Amendola,MIA,33,WR,15,15,1,-2,0,0,-2,-2.0,-0.1,2
Nick Bellore,DET,29,FB,14,4,1,0,0,0,0,0.0,0.0,0
Tommy Bohanon,JAX,28,FB,16,6,1,0,0,0,0,0.0,0.0,0
Trey Burton,CHI,27,TE,16,16,1,2,0,1,2,2.0,0.1,1
Patrick DiMarco,BUF,29,FB,16,5,1,9,0,1,9,9.0,0.6,0
Quincy Enunwa,NYJ,26,WR,11,10,1,0,0,0,0,0.0,0.0,2
Kenny Golladay,DET,25,WR,15,13,1,8,0,0,8,8.0,0.5,1
DeAndre Hopkins*+,HOU,26,WR,16,16,1,-7,0,0,-7,-7.0,-0.4,2
Zay Jones,BUF,23,WR,16,15,1,0,0,0,0,0.0,0.0,1
George Kittle*,SFO,25,TE,16,16,1,10,0,1,10,10.0,0.6,0
David Moore,SEA,23,WR,16,7,1,5,0,0,5,5.0,0.3,2
Jordy Nelson,OAK,33,WR,15,14,1,-2,0,0,-2,-2.0,-0.1,1
Allen Robinson,CHI,25,WR,13,12,1,9,0,0,9,9.0,0.7,1
Chester Rogers,IND,24,WR,16,10,1,-4,0,0,-4,-4.0,-0.3,1
Tajae Sharpe,TEN,24,WR,16,13,1,16,0,1,16,16.0,1.0,0
JuJu Smith-Schuster*,PIT,22,WR,16,13,1,13,0,1,13,13.0,0.8,1
Equanimeous St. Brown,GNB,22,WR,12,7,1,5,0,0,5,5.0,0.4,0
Luke Stocker,TEN,30,TE,16,11,1,0,0,0,0,0.0,0.0,0
Chad Williams,ARI,24,WR,10,7,1,9,0,0,9,9.0,0.9,0
